Questions,Answers
29. Can you tell me which foods and beverages I should avoid?,"When you have type 2 diabetes, taking time to plan your meals goes a long way  toward controlling your blood sugar and weight.Your main focus is on keeping your blood sugar (glucose) level in your target range. To help manage your blood sugar, follow a meal plan that has:?    Food from all the food groups?    Fewer calories?    About the same amount of carbohydrates at each meal and snack?    Healthy fatsAlong with healthy eating, you can help keep your blood sugar in target range by maintaining a healthy weight. People with type 2 diabetes are often overweight or obese. Losing even 10 pounds (4.5 kilograms) can help you manage your diabetes better. Eating healthy foods and staying active (for example, 60 total minutes of walking or other activity per day) can help you meet and maintain your weight loss goal. Activity lets your muscles use sugar from the blood without needing insulin to move the sugar into the muscle cells.HOW CARBOHYDRATES AFFECT BLOOD SUGARCarbohydrates in food give your body energy. You need to eat carbohydrates to maintain yourenergy. But carbohydrates also raise your blood sugar higher and faster than other kinds of food.The main kinds of carbohydrates are starches, sugars, and fiber. Learn which foods have carbohydrates. This will help with meal planning so that you can keep your blood sugar in your target range. Not all carbohydrates can be broken down and absorbed by your body. Foods with more non-digestible carbohydrates, or fiber, are less likely to increase your blood sugar out of your goal range. These include foods such as beans and whole grains.MEAL PLANNING FOR CHILDREN WITH TYPE 2 DIABETESMeal plans should consider the amount of calories children need to grow. In general, three small meals and three snacks a day can help meet calorie needs. Many children with type 2 diabetes are overweight. The goal should be able to reach a healthy weight by eating healthy foods and getting more activity (150 minutes in a week).Work with a registered dietitian to design a meal plan for your child. A registered dietitian is an expert in food and nutrition.The following tips can help your child stay on track:No food is off-limits. Knowing how different foods affect your child's blood sugar helps you and your child keep blood sugar in target range.Help your child learn how much food is a healthy amount. This is called portion control.Have your family gradually switch from drinking soda and other sugary drinks, such as sports drinks and juices, to plain water or low-fat milk.PLANNING MEALSEveryone has individual needs. Work with your health care provider, registered dietitian, or diabetes educator to develop a meal plan that works for you.When shopping, read food labels to make better food choices.A good way to make sure you get all the nutrients you need during meals is to use the plate method. This is a visual food guide that helps you choose the best types and right amounts of food to eat. It encourages larger portions of non-starchy vegetables (half the plate) and moderate portions of protein (one quarter of the plate) and starch (one quarter of the plate).EAT A VARIETY OF FOODSEating a wide variety of foods helps you stay healthy. Try to include foods from all the food groups at each meal.VEGETABLES (2½ to 3 cups or 450 to 550 grams a day)Choose fresh or frozen vegetables without added sauces, fats, or salt. Non-starchy vegetablesinclude dark green and deep yellow vegetables, such as cucumber, spinach, broccoli, romaine lettuce, cabbage, chard, and bell peppers. Starchy vegetables include corn, green peas, lima beans, carrots, yams and taro. Note that potato should be considered a pure starch, like white bread or white rice, instead of a vegetable.FRUITS (1½ to 2 cups or 240 to 320 grams a day)Choose fresh, frozen, canned (without added sugar or syrup), or unsweetened dried fruits. Try apples, bananas, berries, cherries, fruit cocktail, grapes, melon, oranges, peaches, pears, papaya, pineapple, and raisins. Drink juices that are 100% fruit with no added sweeteners or syrups.GRAINS (3 to 4 ounces or 85 to 115 grams a day) There are 2 types of grains:Whole grains are unprocessed and have the entire grain kernel. Examples are whole-wheat flour, oatmeal, whole cornmeal, amaranth, barley, brown and wild rice, buckwheat, and quinoa.Refined grains have been processed (milled) to remove the bran and germ. Examples are white flour, de-germed cornmeal, white bread, and white rice.Grains have starch, a type of carbohydrate. Carbohydrates raise your blood sugar level. For healthy eating, make sure half of the grains you eat each day are whole grains. Whole grains have lots of fiber. Fiber in the diet keeps your blood sugar level from rising too fast.PROTEIN FOODS (5 to 6½ ounces or 140 to 184 grams a day)Protein foods include meat, poultry, seafood, eggs, beans and peas, nuts, seeds, and processed soy foods. Eat fish and poultry more often. Remove the skin from chicken and turkey. Select lean cuts of beef, veal, pork, or wild game. Trim all visible fat from meat. Bake, roast, broil, grill, or boil instead of frying. When frying proteins, use healthy oils such as olive oil.DAIRY (3 cups or 245 grams a day)Choose low-fat dairy products. Be aware that milk, yogurt, and other dairy foods have natural sugar, even when they do not contain added sugar. Take this into account when planning meals to stay in your blood sugar target range. Some non-fat dairy products have a lot of added sugar. Be sure to read the label.OILS/FATS (no more than 7 teaspoons or 35 milliliters a day)Oils are not considered a food group. But they have nutrients that help your body stay healthy. Oils are different from fats in that oils remain liquid at room temperature. Fats remain solid at room temperature.Limit your intake of fatty foods, especially those high in saturated fat, such as hamburgers,deep-fried foods, bacon, and butter.Instead, choose foods that are high in polyunsaturated or monounsaturated fats. These include fish, nuts, and vegetable oils.Oils can raise your blood sugar, but not as fast as starch. Oils are also high in calories. Try to use no more than the recommended daily limit of 7 teaspoons (35 milliliters)."
30. How can you help me reach my goals? Diabetes type 2 – MEAL PLANNING,"When you have type 2 diabetes, taking time to plan your meals goes a long way  toward controlling your blood sugar and weight.Your main focus is on keeping your blood sugar (glucose) level in your target range. To help manage your blood sugar, follow a meal plan that has:?    Food from all the food groups?    Fewer calories?    About the same amount of carbohydrates at each meal and snack?    Healthy fatsAlong with healthy eating, you can help keep your blood sugar in target range by maintaining a healthy weight. People with type 2 diabetes are often overweight or obese. Losing even 10 pounds (4.5 kilograms) can help you manage your diabetes better. Eating healthy foods and staying active (for example, 60 total minutes of walking or other activity per day) can help you meet and maintain your weight loss goal. Activity lets your muscles use sugar from the blood without needing insulin to move the sugar into the muscle cells.HOW CARBOHYDRATES AFFECT BLOOD SUGARCarbohydrates in food give your body energy. You need to eat carbohydrates to maintain yourenergy. But carbohydrates also raise your blood sugar higher and faster than other kinds of food.The main kinds of carbohydrates are starches, sugars, and fiber. Learn which foods have carbohydrates. This will help with meal planning so that you can keep your blood sugar in your target range. Not all carbohydrates can be broken down and absorbed by your body. Foods with more non-digestible carbohydrates, or fiber, are less likely to increase your blood sugar out of your goal range. These include foods such as beans and whole grains.MEAL PLANNING FOR CHILDREN WITH TYPE 2 DIABETESMeal plans should consider the amount of calories children need to grow. In general, three small meals and three snacks a day can help meet calorie needs. Many children with type 2 diabetes are overweight. The goal should be able to reach a healthy weight by eating healthy foods and getting more activity (150 minutes in a week).Work with a registered dietitian to design a meal plan for your child. A registered dietitian is an expert in food and nutrition.The following tips can help your child stay on track:No food is off-limits. Knowing how different foods affect your child's blood sugar helps you and your child keep blood sugar in target range.Help your child learn how much food is a healthy amount. This is called portion control.Have your family gradually switch from drinking soda and other sugary drinks, such as sports drinks and juices, to plain water or low-fat milk.PLANNING MEALSEveryone has individual needs. Work with your health care provider, registered dietitian, or diabetes educator to develop a meal plan that works for you.When shopping, read food labels to make better food choices.A good way to make sure you get all the nutrients you need during meals is to use the plate method. This is a visual food guide that helps you choose the best types and right amounts of food to eat. It encourages larger portions of non-starchy vegetables (half the plate) and moderate portions of protein (one quarter of the plate) and starch (one quarter of the plate).EAT A VARIETY OF FOODSEating a wide variety of foods helps you stay healthy. Try to include foods from all the food groups at each meal.VEGETABLES (2½ to 3 cups or 450 to 550 grams a day)Choose fresh or frozen vegetables without added sauces, fats, or salt. Non-starchy vegetablesinclude dark green and deep yellow vegetables, such as cucumber, spinach, broccoli, romaine lettuce, cabbage, chard, and bell peppers. Starchy vegetables include corn, green peas, lima beans, carrots, yams and taro. Note that potato should be considered a pure starch, like white bread or white rice, instead of a vegetable.FRUITS (1½ to 2 cups or 240 to 320 grams a day)Choose fresh, frozen, canned (without added sugar or syrup), or unsweetened dried fruits. Try apples, bananas, berries, cherries, fruit cocktail, grapes, melon, oranges, peaches, pears, papaya, pineapple, and raisins. Drink juices that are 100% fruit with no added sweeteners or syrups.GRAINS (3 to 4 ounces or 85 to 115 grams a day) There are 2 types of grains:Whole grains are unprocessed and have the entire grain kernel. Examples are whole-wheat flour, oatmeal, whole cornmeal, amaranth, barley, brown and wild rice, buckwheat, and quinoa.Refined grains have been processed (milled) to remove the bran and germ. Examples are white flour, de-germed cornmeal, white bread, and white rice.Grains have starch, a type of carbohydrate. Carbohydrates raise your blood sugar level. For healthy eating, make sure half of the grains you eat each day are whole grains. Whole grains have lots of fiber. Fiber in the diet keeps your blood sugar level from rising too fast.PROTEIN FOODS (5 to 6½ ounces or 140 to 184 grams a day)Protein foods include meat, poultry, seafood, eggs, beans and peas, nuts, seeds, and processed soy foods. Eat fish and poultry more often. Remove the skin from chicken and turkey. Select lean cuts of beef, veal, pork, or wild game. Trim all visible fat from meat. Bake, roast, broil, grill, or boil instead of frying. When frying proteins, use healthy oils such as olive oil.DAIRY (3 cups or 245 grams a day)Choose low-fat dairy products. Be aware that milk, yogurt, and other dairy foods have natural sugar, even when they do not contain added sugar. Take this into account when planning meals to stay in your blood sugar target range. Some non-fat dairy products have a lot of added sugar. Be sure to read the label.OILS/FATS (no more than 7 teaspoons or 35 milliliters a day)Oils are not considered a food group. But they have nutrients that help your body stay healthy. Oils are different from fats in that oils remain liquid at room temperature. Fats remain solid at room temperature.Limit your intake of fatty foods, especially those high in saturated fat, such as hamburgers,deep-fried foods, bacon, and butter.Instead, choose foods that are high in polyunsaturated or monounsaturated fats. These include fish, nuts, and vegetable oils.Oils can raise your blood sugar, but not as fast as starch. Oils are also high in calories. Try to use no more than the recommended daily limit of 7 teaspoons (35 milliliters)."
31. What activities should I include in my exercise plan?,"Warm up/cool down: The most important thing you can include in your physical activity regimen is a “warm up/cool down” routine for before and after your workout. The purpose of a warm up is to gradually prepare your heart, lungs and muscles for safe, effective and comfortable exercise. Warm up exercises include stretching or walking.Cool down exercises are important to lower your heart rate, body temperature and breathing rate to pre-exercise levels. A cool down exercise is one that reduces the intensity of your activity (for example, walking at the end of your jog); this gives the blood a chance to re-circulate throughout your body, and reduces your risk of fainting or dizziness. Read more about warm up and cool down exercises here.Resistance exercise is a very worthwhile activity for people with diabetes. Resistance exercises are ones that force your muscles to work repeatedly to overcome a resistance force. Weight lifting is one of the most common resistance exercises; others include push-ups and sit-ups. Thereason why resistance exercise is so important is that it builds muscle strength, as well as bonestrength and bone density. It has also been shown to help regulate your blood sugar levels, and increase high-density lipoprotein cholesterol levels (the ‘good’ cholesterol)."
32. What types of exercise do I do every day?,"Warm up/cool down: The most important thing you can include in your physical activity regimen is a “warm up/cool down” routine for before and after your workout. The purpose of a warm up is to gradually prepare your heart, lungs and muscles for safe, effective and comfortable exercise. Warm up exercises include stretching or walking.Cool down exercises are important to lower your heart rate, body temperature and breathing rate to pre-exercise levels. A cool down exercise is one that reduces the intensity of your activity (for example, walking at the end of your jog); this gives the blood a chance to re-circulate throughout your body, and reduces your risk of fainting or dizziness. Read more about warm up and cool down exercises here.Resistance exercise is a very worthwhile activity for people with diabetes. Resistance exercises are ones that force your muscles to work repeatedly to overcome a resistance force. Weight lifting is one of the most common resistance exercises; others include push-ups and sit-ups. Thereason why resistance exercise is so important is that it builds muscle strength, as well as bonestrength and bone density. It has also been shown to help regulate your blood sugar levels, and increase high-density lipoprotein cholesterol levels (the ‘good’ cholesterol)."
33. How well do you think will this exercise program work for me?,"Warm up/cool down: The most important thing you can include in your physical activity regimen is a “warm up/cool down” routine for before and after your workout. The purpose of a warm up is to gradually prepare your heart, lungs and muscles for safe, effective and comfortable exercise. Warm up exercises include stretching or walking.Cool down exercises are important to lower your heart rate, body temperature and breathing rate to pre-exercise levels. A cool down exercise is one that reduces the intensity of your activity (for example, walking at the end of your jog); this gives the blood a chance to re-circulate throughout your body, and reduces your risk of fainting or dizziness. Read more about warm up and cool down exercises here.Resistance exercise is a very worthwhile activity for people with diabetes. Resistance exercises are ones that force your muscles to work repeatedly to overcome a resistance force. Weight lifting is one of the most common resistance exercises; others include push-ups and sit-ups. Thereason why resistance exercise is so important is that it builds muscle strength, as well as bonestrength and bone density. It has also been shown to help regulate your blood sugar levels, and increase high-density lipoprotein cholesterol levels (the ‘good’ cholesterol)."
34. How much exercises should I do every week?,"Warm up/cool down: The most important thing you can include in your physical activity regimen is a “warm up/cool down” routine for before and after your workout. The purpose of a warm up is to gradually prepare your heart, lungs and muscles for safe, effective and comfortable exercise. Warm up exercises include stretching or walking.Cool down exercises are important to lower your heart rate, body temperature and breathing rate to pre-exercise levels. A cool down exercise is one that reduces the intensity of your activity (for example, walking at the end of your jog); this gives the blood a chance to re-circulate throughout your body, and reduces your risk of fainting or dizziness. Read more about warm up and cool down exercises here.Resistance exercise is a very worthwhile activity for people with diabetes. Resistance exercises are ones that force your muscles to work repeatedly to overcome a resistance force. Weight lifting is one of the most common resistance exercises; others include push-ups and sit-ups. Thereason why resistance exercise is so important is that it builds muscle strength, as well as bonestrength and bone density. It has also been shown to help regulate your blood sugar levels, and increase high-density lipoprotein cholesterol levels (the ‘good’ cholesterol)."
35. Can you provide with me a sample exercise program?,"MonAerobic exercise: 10-30 minutes. Some example activities include stationary bike, a walking workout, swimming, or elliptical workout.TueResistance training: total body strength and core training.WedRest Day, or gentle stretching, flexibility training, or walking.ThuAerobic  exercise:  10-30  minutes.  You  can  do  the  same  exercise  you  did  on Monday, or a new one!FriResistance training: total body strength and core training. Try to repeat the same exercises you did on Tuesday so you can practice the exercises, and build strength and endurance to do more.SatAerobic  exercise:  try  something  less  structured  and  more  leisurely  for  10-30 minutes, like a walk or bike ride.SunRest day; address any exercises challenges or accomplishments from the week."
36. What kind of equipment and supplies do I have to self-check my blood sugar with?,Knowing your blood sugar levels helps you manage your diabetes and reduces your risk of having serious complications – now and in the future.
37. How often should I check my blood sugar?,Knowing your blood sugar levels helps you manage your diabetes and reduces your risk of having serious complications – now and in the future.
38. Should I keep a blood sugar log book?,Knowing your blood sugar levels helps you manage your diabetes and reduces your risk of having serious complications – now and in the future.
39. Should I bring my log book to my doctor visits?,Knowing your blood sugar levels helps you manage your diabetes and reduces your risk of having serious complications – now and in the future.
40. Why should I keep a check on my blood sugar levels?,Knowing your blood sugar levels helps you manage your diabetes and reduces your risk of having serious complications – now and in the future.
What are blood sugar levels?,"Your blood sugar levels, also known as blood glucose levels, are a measurement that show howmuch glucose you have in your blood. Glucose is a sugar that you get from food and drink. Your blood sugar levels go up and down throughout the day and for people living with diabetes these changes are larger and happen more often than in people who don't have diabetes."
Can I check my own blood sugar?,"You can do blood sugar level check by doing a finger-prick test, or by using an electronic blood sugar monitor called a flash glucose monitor or CGM. You can do this several times a day – helping you keep an eye on your levels as you go about your life and help you work out what to eat and how much medication to take.Not everyone with diabetes needs to check their levels like this. You’ll need to if you take certain diabetes medication. Always talk to your healthcare team if you’re not sure whether that’s you – they’ll give you advice on whether to check them yourself and how often.And there’s also something called an HbA1c, which is a blood test to measure your average blood sugar level over the last three months. Everyone with diabetes is entitled to this check.High blood sugar levels increase your risk of developing serious complications. However, you manage your diabetes, stay in the know about your blood sugar levels.To understand the methods of checking your blood sugar levels, Call now on 0800-66766 and talk to our certified healthcare practitioner for free."
Why to test blood sugar levels?,"If you take certain medication, like insulin or sulphonylureas, checking your blood sugars is a vital part of living with diabetes. It can help you work  out when you need to take more medication, when you need to eat something or for when you want to get up and move around more.Routine checks can help you know when you might be starting to go too low (called a hypo) or too high (called a hyper). It’s a way of getting to know your body and how it works. It can help you and your healthcare team spot patterns too.To understand the methods of checking your blood sugar levels, Call now on 0800-66766 and talk to our certified healthcare practitioner for free.You should write your test results down in a log book. You might find that helpful. Your healthcare provider will then easily track your sugar levels and suggest management that will help you lead a healthy lifestyle.But importantly, it will help you stay healthy and prevent serious diabetes complications now and in the future. By complications, we mean serious problems in places like your feet and your eyes. This happens because too much sugar in the blood damages your blood vessels, making itharder for blood to flow around your body. This can lead to very serious problems like sight lossand needing an amputation."
How to check blood sugar levels,"Finger-pricking: This is how you find out what your blood sugar level is at that moment in time.Your healthcare team will show you how to do the test and it’s important that you’re taught how to do it properly – otherwise you could get the wrong results.For some people, finger-prick testing isn’t a problem and it quickly becomes part of their normal routine. For others, it can be a stressful experience, and that’s totally understandable. Knowing all the facts and speaking to other people can help – contact our helpline or chat to others with diabetes on our online forum. They’ve been through it too and will understand your worries.To understand the methods of checking your blood sugar levels, Call now on 0800-66766 and talk to our certified healthcare practitioner for free.We have more information for you if your child has diabetes and you’re checking their blood sugar levels for them. Call us now on 0800-66766 and get free consultation on how to manage your diabetes."
Things required for testing blood sugar levels?,"You’ll need these things to do the test:?    a blood testing meter?    a finger prick device?    some test strips?    a lancet (a very short, fine needle)?    a sharps bin, so you can throw the needles away safely.If you’re missing one of these, speak to your healthcare team and make a free call now on 0800-66766"
Blood testing meters,"New meters come on the market all the time, so it can be tricky choosing the right one. It’s best to ask your healthcare team for advice on a meter that’ll suit you.If you have sight problems, you may not be able to use some meters so your healthcare team can suggest alternatives.Some people can get meters on prescription. But if you choose to buy your own meter, you might not get a prescription for the test strips it uses. Chat to your healthcare team.For assistance call now on 0800-66766 and talk to our certified healthcare practitioner for free."
Test strips,Test strips usually come in batches of 50 and must work with the type of meter you’ve chosen.
Finger-prick devices and lancets,"Finger-prick devices pierce the skin with a needle so that a drop of blood can be taken for testing. The needle is called a lancet. You can adjust the device to change how far it goes into the skin. It’ll depend on the thickness of the skin.Lancets come in different sizes and thicknesses (or gauges). A higher-gauge lancet is thinner so is normally less painful, but it might not always give you enough blood. You can only use a lancet once or they get blunt and are painful to use.For assistance call now on 0800-66766 and talk to our certified healthcare practitioner for free."
How to do a finger-prick test?,"Your healthcare team will show you how to do it the first time, but these are the key steps:? Wash your hands with soap and warm water. Don’t use wet wipes as the glycerine in them can affect the test result. Make sure your hands are warm so it’s easier to get blood and won’t hurt as much.? Take a test strip and slot it into the meter to turn it on. Some meters will have tests strips built in.? Remove the cap from your finger prick device and put in a new lancet. Then put the cap back on and set the device by pulling or clicking the plunger.? Choose which finger to prick but avoid your thumb or index finger (finger next to your thumb). And don’t prick the middle, or too close to a nail. Place the device against the side of your finger and press the plunger. Use a different finger each time and a different area.? Take your meter with the test strip and hold it against the drop of blood. It’ll tell you if the test strip is filled, usually by beeping.? Before you look at your reading, check your finger. Use a tissue to stop bleeding, then use it to take out the lancet and throw it away in your sharps bin.?    By this time, your meter will probably show the result. Note it down.? You can use the same tissue to take out the test strip and throw that away too. Taking out the strip will usually turn the meter off.For assistance call now on 0800-66766 and talk to our certified healthcare practitioner for free."
What is an HbA1c test?,"As well as regularly testing your own blood sugars, at least once a year your healthcare teamwill ask you to come in for an HbA1c blood test. This checks your average blood sugar levels over the last three months and helps your diabetes team and you spot trends over time.This is one of your essential diabetes health checks and it’s really important you understand what your results mean. A high HbA1c means you have too much sugar in your blood. This means you’re more likely to develop diabetes complications, like serious problems with your eyes and feet. So it's really important to have this test regularly so that you can make changes and reduce your risk of getting complications.We’ve got more information about the HbA1c test and what your levels mean. Speak to our healthcare team and make a free call now on 0800-66766."
Make a note of your readings,"It  may  sound  obvious, but  you  must  record  your readings.  Note them  down  in  a  diary,  a notebook or in your phone calendar. Some meters have software that lets you do this.You and your healthcare team can then look back over your results to see if you need to adjust your treatment."
What's the normal range for blood sugar levels?,"There is a healthy range that you should ideally be aiming for, but your individual target range for your blood sugar levels may be different.You’ll get different readings at different times of the day, depending on things like what you’ve eaten and how much you are moving around. Here’s a guide to help you get started on finding your target range:"
If you’re a child with type 1 diabetes,when you wake up and before meals: 4 to 7mmol/l after meals: 5 to 9mmol/l
If you’re an adult with type 1 diabetes,when you wake up and before meals: 5 to 7mmol/l before meals at other times of the day: 4 to 7mmol/l after meals: 5-9mmol/l at least 90 minutes after eatingA bedtime target should be agreed with you by your healthcare team too.
If you have type 2 diabetes,before meals: 4 to 7mmol/ltwo hours after meals: less than 8.5mmol/l
"Pregnant women with any form of diabetes, including gestational diabetes","Fasting: below 5.3mmol/lOne hour after meals: below 7.8mmol/lIf you’re not able to check until two hours – rather than one hour – after a meal, you should aim for below 6.4mmol/l."
What does mmol/l mean?,mmol/l  stands  for  millimoles  per  litre.  A  mole  is  a  scientific  unit  often  used  to  measure chemicals.We’ve also got more information about what to do if you are not able to understand your blood sugar readings. Speak to our healthcare team and make a free call now on 0800-66766.
What happens when your blood sugar levels are too low?,"If your blood sugar levels are too low, usually below 4 mmol/l, you may experience a hypo. Hypos need to be treated immediately, otherwise your blood sugar levels will drop further. If this happens, you may experience a severe hypo and need emergency treatment.There are many different symptoms of a hypo, so it’s important that you are aware of the signs in case your blood sugar level gets too low.We’ve also got more information about what to do if you are having a hypo. Speak to our healthcare team and make a free call now on 0800-66766."
What happens when your blood sugar levels are too high?,"If your blood sugar levels are slightly above your targets, there are usually no symptoms. But if your blood sugar levels become too high, you may experience some symptoms associated with a hyper.The blood sugar level at which symptoms begin to appear is different for everyone, but the common symptoms include passing more urine than normal, being very thirsty, having headaches and feeling tired and lethargic.It’s important that you know how to treat a hyper to avoid developing ketones in the blood.Speak to our healthcare team and make a free call now on 0800-66766."
41. How should I take my medicines?,"For patients who have proven unsuccessful in making lifestyle changes, such as nutrition and exercise, medication may be used in conjunction with diet and exercise. If prescribed, medication adherence is important for successful outcomes in diabetes. For each medication, patients should be informed of the dosage, timing and frequency of administration, potential side effects, mechanism of action, and storage instructions.To get to know more information about your current medications, Speak to our healthcare team and make a free call now on 0800-66766.Have you missed your dose? Don’t worry, we have you covered. Speak to our healthcare team and make a free call now on 0800-66766.You aren’t feeling right after taking your medications: don’t worry we have you covered. Speak to our healthcare team and make a free call now on 0800-66766."
42. Can you tell me what my medications are for and how they will help me?,"For patients who have proven unsuccessful in making lifestyle changes, such as nutrition and exercise, medication may be used in conjunction with diet and exercise. If prescribed, medication adherence is important for successful outcomes in diabetes. For each medication, patients should be informed of the dosage, timing and frequency of administration, potential side effects, mechanism of action, and storage instructions.To get to know more information about your current medications, Speak to our healthcare team and make a free call now on 0800-66766.Have you missed your dose? Don’t worry, we have you covered. Speak to our healthcare team and make a free call now on 0800-66766.You aren’t feeling right after taking your medications: don’t worry we have you covered. Speak to our healthcare team and make a free call now on 0800-66766."
43. What happens when I miss my medication dose?,"For patients who have proven unsuccessful in making lifestyle changes, such as nutrition and exercise, medication may be used in conjunction with diet and exercise. If prescribed, medication adherence is important for successful outcomes in diabetes. For each medication, patients should be informed of the dosage, timing and frequency of administration, potential side effects, mechanism of action, and storage instructions.To get to know more information about your current medications, Speak to our healthcare team and make a free call now on 0800-66766.Have you missed your dose? Don’t worry, we have you covered. Speak to our healthcare team and make a free call now on 0800-66766.You aren’t feeling right after taking your medications: don’t worry we have you covered. Speak to our healthcare team and make a free call now on 0800-66766."
44. How do I store my medications?,"For patients who have proven unsuccessful in making lifestyle changes, such as nutrition and exercise, medication may be used in conjunction with diet and exercise. If prescribed, medication adherence is important for successful outcomes in diabetes. For each medication, patients should be informed of the dosage, timing and frequency of administration, potential side effects, mechanism of action, and storage instructions.To get to know more information about your current medications, Speak to our healthcare team and make a free call now on 0800-66766.Have you missed your dose? Don’t worry, we have you covered. Speak to our healthcare team and make a free call now on 0800-66766.You aren’t feeling right after taking your medications: don’t worry we have you covered. Speak to our healthcare team and make a free call now on 0800-66766."
45. I don’t feel right after taking my medications? What should I do?,"For patients who have proven unsuccessful in making lifestyle changes, such as nutrition and exercise, medication may be used in conjunction with diet and exercise. If prescribed, medication adherence is important for successful outcomes in diabetes. For each medication, patients should be informed of the dosage, timing and frequency of administration, potential side effects, mechanism of action, and storage instructions.To get to know more information about your current medications, Speak to our healthcare team and make a free call now on 0800-66766.Have you missed your dose? Don’t worry, we have you covered. Speak to our healthcare team and make a free call now on 0800-66766.You aren’t feeling right after taking your medications: don’t worry we have you covered. Speak to our healthcare team and make a free call now on 0800-66766."
46. What are the symptoms when my blood sugars are low?,"Emergencies can happen, and it is important to problem solve and make adjustments. One example is when a patient suffers a hypoglycemic event. The signs and symptoms, the patient, and caregivers should be aware of includes:?    Dizziness or shakiness?    Nervousness?    Rapid heartbeat?    Trouble concentrating?    Headache?    Irritability, moodiness, or anger?    Sweating?    Tingling in the face or lips?    Extreme hungerIf you experience these symptoms, you should take immediate steps if your blood sugar is toolow (plasma glucose <70 mg/dL). Recommended instructions include:• Eat 15-20 grams of glucose (sugar) or simple carbohydrates (for example, 2 tablespoons of raisinsor 1 tablespoon of honey) and check your blood sugar again after 15 minutes.• If your blood sugar is still low, repeat this step.• Once your blood sugar returns to normal, eat a small snack if your next planned meal or snack is more than an hour or two away.If a hypoglycemic event occurs multiple times, you should consult a physician for evaluation.To help you find a healthcare provider near you, Call now at 0800-66766 for free and we will book you an appointment with our certified healthcare professional."
"47. My blood sugar levels are mostly on the lower side, what should I do?","Emergencies can happen, and it is important to problem solve and make adjustments. One example is when a patient suffers a hypoglycemic event. The signs and symptoms, the patient, and caregivers should be aware of includes:?    Dizziness or shakiness?    Nervousness?    Rapid heartbeat?    Trouble concentrating?    Headache?    Irritability, moodiness, or anger?    Sweating?    Tingling in the face or lips?    Extreme hungerIf you experience these symptoms, you should take immediate steps if your blood sugar is toolow (plasma glucose <70 mg/dL). Recommended instructions include:• Eat 15-20 grams of glucose (sugar) or simple carbohydrates (for example, 2 tablespoons of raisinsor 1 tablespoon of honey) and check your blood sugar again after 15 minutes.• If your blood sugar is still low, repeat this step.• Once your blood sugar returns to normal, eat a small snack if your next planned meal or snack is more than an hour or two away.If a hypoglycemic event occurs multiple times, you should consult a physician for evaluation.To help you find a healthcare provider near you, Call now at 0800-66766 for free and we will book you an appointment with our certified healthcare professional."
48. What should I do if my blood sugar level decreases?,"Emergencies can happen, and it is important to problem solve and make adjustments. One example is when a patient suffers a hypoglycemic event. The signs and symptoms, the patient, and caregivers should be aware of includes:?    Dizziness or shakiness?    Nervousness?    Rapid heartbeat?    Trouble concentrating?    Headache?    Irritability, moodiness, or anger?    Sweating?    Tingling in the face or lips?    Extreme hungerIf you experience these symptoms, you should take immediate steps if your blood sugar is toolow (plasma glucose <70 mg/dL). Recommended instructions include:• Eat 15-20 grams of glucose (sugar) or simple carbohydrates (for example, 2 tablespoons of raisinsor 1 tablespoon of honey) and check your blood sugar again after 15 minutes.• If your blood sugar is still low, repeat this step.• Once your blood sugar returns to normal, eat a small snack if your next planned meal or snack is more than an hour or two away.If a hypoglycemic event occurs multiple times, you should consult a physician for evaluation.To help you find a healthcare provider near you, Call now at 0800-66766 for free and we will book you an appointment with our certified healthcare professional."
49. What are the different types of diabetes?,"Type 1 diabetesType 1 diabetes accounts for about 5% of all diagnosed cases of diabetes. Type 1 is usually diagnosed in children and young adults, although it can occur at any time. People with type 1 diabetes must use insulin from an injection or a pump to manage their diabetes.Type 2 diabetesType 2 diabetes accounts for about 95% of all cases diagnosed in adults. Several studies have shown that healthy eating, regular physical activity, and weight loss used with medication if prescribed, can help control complications from type 2 diabetes or can prevent or delay the onset of type 2 diabetes.Gestational diabetesGestational diabetes is diagnosed in 2 to 10% of pregnant women. Gestational diabetes can cause health problems during pregnancy for both the child and mother. Children whose mothers had gestational diabetes have an  increased risk of developing obesity and type 2 diabetes. Although gestational diabetes often goes away after pregnancy, about half  of all women who have gestational diabetes get type 2 diabetes later in life."
50. How is diabetes diagnosed?,"A urine analysis may show high blood sugar. But a urine test alone does not diagnose diabetes. Your health care provider may suspect that you have diabetes if your blood sugar level is higher than 200 mg/dL. To confirm the diagnosis, one or more of the following tests must be done.Blood testsFasting blood glucose test, hemoglobin A1c test, and oral glucose tolerance test are blood test that can be done to diagnose diabetes.ScreeningScreening for type 2 diabetes in people who have no symptoms is recommended for: overweight children who have other risk factors for diabetes (starting at age 10), overweight adults (BMI greater than 25) who have other risk factors, and adults over age 45."
51. What type of tests should I get done to know if I am diabetic? Urine analysis,"A urine analysis may show high blood sugar. But a urine test alone does not diagnose diabetes. Your health care provider may suspect that you have diabetes if your blood sugar level is higher than 200 mg/dL. To confirm the diagnosis, one or more of the following tests must be done.Blood testsFasting blood glucose test, hemoglobin A1c test, and oral glucose tolerance test are blood test that can be done to diagnose diabetes.ScreeningScreening for type 2 diabetes in people who have no symptoms is recommended for: overweight children who have other risk factors for diabetes (starting at age 10), overweight adults (BMI greater than 25) who have other risk factors, and adults over age 45."
